Lp.,Spółka,Dzień zawieszenia,Dzień ostatniego notowania,Powód wykluczenia
1,DZPOLSKA,2010-09-23,2011-01-11,przymusowy wykup
2,RUCH,2010-10-20,2011-01-14,zniesienie dematerializacji akcji
3,SWARZEDZ,,2011-01-14,upadłości likwidacyjna
4,ORZEL,,2011-01-14,upadłości likwidacyjna
5,ENERGOPN,2010-12-31,2011-02-01,fuzja z Polimex-Mostostal S.A.
6,NAFTA,2010-12-31,2011-02-01,fuzja z Polimex-Mostostal S.A.
7,TECHMEX,,2011-03-11,upadłości likwidacyjna
8,WOLAINFO,2010-10-08,2011-03-18,zniesienie dematerializacji akcji
9,IRENA,,2011-05-16,upadłości likwidacyjna
10,POLREST,,2011-10-14,upadłości likwidacyjna
11,MMPPL,2011-08-23,2011-11-07,zniesienie dematerializacji akcji
12,NOVITUS,2011-11-30,2011-12-19,fuzja z Comp S.A.
